"","Date","Time","Type","No.","1:F","1:Fm'","1:PAR","1:Y (II)","1:ETR","1:Fo'","1:ETR-F.","1:qP","1:qN","1:qL","1:NPQ","1:Y (NO)","1:Y (NPQ)","1:Fo","1:Fm","1:Fv/Fm","date","id","treatment","RLC_start","RLC_end","RLC","Respirometry","wet_weight_g","whole_anemone","Fv_Fm","note"
"1",NA,NA,"D",NA,"Device Nr: #1, DIVING-PAM-II (UWFC0119A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","24-05-26",10:36:48,"SLCS",NA,"Light Curve start",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","24-05-26",10:36:48,"REG1",NA,"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.006, ETRmPot: 15.800 )   (Platt et al. 1980)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","24-05-26",10:36:48,"REG2",NA,"#1: alpha: 0.095, ETRm: 23.443, Ik: 246.782   (Jassby and Platt 1976)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","24-05-26",10:36:49,"FO",55,"95",229,0,0.585,0,0,0.84,0,0,0,0,0,0,95,229,0.585,"26Apr2024","PVC_4","PVC_0.01_mgL",55,67,"complete","complete",1.19,"yes",0.585,"healthy"
"6","24-05-26",10:37:09,"F",56,"157",247,25,0.364,3.8,129,0.84,0.763,0.119,0.627,-0.073,0.686,-0.05,95,229,0.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","24-05-26",10:37:29,"F",57,"170",249,45,0.317,6,125,0.84,0.637,0.075,0.468,-0.08,0.742,-0.059,95,229,0.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","24-05-26",10:37:49,"F",58,"166",236,66,0.297,8.2,120,0.84,0.603,0.134,0.436,-0.03,0.725,-0.022,95,229,0.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","24-05-26",10:38:09,"F",59,"166",228,91,0.272,10.4,116,0.84,0.554,0.164,0.387,0.004,0.725,0.003,95,229,0.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","24-05-26",10:38:29,"F",60,"177",229,127,0.227,12.1,122,0.84,0.486,0.201,0.335,0,0.773,0,95,229,0.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
